date,max_temperature,avg_temperature,min_temperature,max_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_wind_speed,min_wind_speed,max_visibility,avg_visibility,min_visibility,precipitation,rain,snow
2023-12-07,1.1,-0.55,-2.2,99,93,87,0.5,-1.1,-2.7,26,16,6,24100,12450,800,4.3,,
2023-12-06,8.7,2.84,-3,92,72.5,53,2.6,-0.2,-3.1,21,12,3,32200,21750,11300,0,0,0
2023-12-05,17,8.94,0.9,88,59.5,31,1.8,-2.7,-7.2,26,13.5,1,64400,44250,24100,0,0,0
2023-12-04,7.9,4.6,1.3,43,33.5,24,-7.5,-9.6,-11.6,32,18,4,64400,44250,24100,0,0,0
2023-12-03,3.7,-1.44,-6.6,58,44,30,-9.2,-12.3,-15.4,28,17,6,64400,40250,16100,0,0,0
2023-12-02,3.8,-1.45,-6.7,61,48,35,-9.4,-11.3,-13.3,31,17.5,4,64400,40250,16100,0,0,0
2023-12-01,0.4,-5.2,-10.8,86,62,38,-9.5,-11.6,-13.7,19,10.5,2,64400,44250,24100,0,0,0
2023-11-30,-1.4,-4.95,-8.5,81,66.5,52,-9.9,-10.9,-11.9,18,11,4,24100,19300,14500,0,0,0
2023-11-29,4.7,-0.94,-6.6,59,44.5,30,-7.5,-10.4,-13.4,27,14,1,64400,44250,24100,0,0,0
2023-11-28,7.5,2.04,-3.4,48,32.5,17,-11,-14,-17,28,14,0,64400,44250,24100,0,0,0
2023-11-27,10.2,1.99,-6.2,72,45.5,19,-7.9,-11.2,-14.4,31,17,3,64400,40250,16100,0,0,0
2023-11-26,4.7,-0.6,-5.9,83,64,45,-4.4,-7.3,-10.3,20,11.5,3,64400,40250,16100,0,0,0
2023-11-25,5.3,-0.85,-7,88,70.5,53,-1.6,-5.5,-9.5,36,18.5,1,64400,40250,16100,0,0,0
2023-11-24,4.2,-2.65,-9.5,95,63.5,32,-6.3,-9.1,-11.8,13,8,3,64400,44250,24100,0,0,0
2023-11-23,1.1,-2.7,-6.5,95,82,69,-2.5,-5,-7.5,14,8,2,64400,34200,4000,0,0,0
2023-11-22,2.8,0.04,-2.7,97,75.5,54,-1.3,-4.4,-7.5,18,9.5,1,64400,32800,1200,0.5,0,0.4
2023-11-21,15.6,6.4,-2.8,64,40.5,17,-7.7,-9.3,-11,27,15,3,64400,44250,24100,0,0,0
2023-11-20,6.3,1.7,-2.9,61,42,23,-8.3,-11.6,-14.9,35,22,9,64400,44250,24100,0,0,0
2023-11-19,13.4,5.9,-1.6,70,51,32,-2.8,-6.3,-9.8,35,18,1,64400,40250,16100,0,0,0
2023-11-18,11.1,4.25,-2.6,74,53,32,-2.3,-4.5,-6.6,35,18.5,2,64400,44250,24100,0,0,0
2023-11-17,15.4,9.5,3.6,57,42.5,28,-1.2,-2.9,-4.6,32,17.5,3,64400,44250,24100,0,0,0
2023-11-16,8.3,-0.94,-10.2,98,70.5,43,-3.5,-7,-10.6,27,15.5,4,64400,36250,8100,0,0,0
2023-11-15,3.7,-0.94,-5.6,97,61,25,-3,-9.2,-15.3,34,18.5,3,64400,33200,2000,2.2,0,4.8
2023-11-14,6.4,1,-4.4,48,33.5,19,-11,-13.6,-16.2,42,22,2,64400,44250,24100,0,0,0
2023-11-13,13.9,4.84,-4.2,76,50.5,25,-1.8,-6.7,-11.5,25,14,3,64400,40250,16100,0,0,0
2023-11-12,8.6,2.8,-3,70,44.5,19,-7.4,-11.1,-14.7,27,14,1,64400,40250,16100,0,0,0
2023-11-11,12.4,3.65,-5.1,72,48,24,-5.2,-7.5,-9.8,45,22.5,0,64400,40250,16100,0,0,0
2023-11-10,8.6,2.65,-3.3,76,50,24,-6,-8.7,-11.4,32,18.5,5,64400,40250,16100,0,0,0
2023-11-09,7,0.54,-5.9,79,54.5,30,-3.9,-6.8,-9.7,18,9.5,1,64400,40250,16100,0,0,0
2023-11-08,8.2,0.94,-6.3,89,57,25,-3.7,-8,-12.3,22,11.5,1,64400,44250,24100,0,0,0
2023-11-07,9.4,4.3,-0.8,92,64,36,0,-2.8,-5.5,24,12.5,1,64400,40250,16100,0,0,0
2023-11-06,9.1,2.54,-4,93,64,35,-0.8,-3.5,-6.2,19,10,1,64400,38650,12900,0,0,0
2023-11-05,13.5,8.05,2.6,71,49,27,-0.5,-3.6,-6.7,30,15,0,64400,40250,16100,0,0,0
2023-11-04,12.3,5.65,-1,85,62.5,40,1,-1.2,-3.5,23,12.5,2,64400,37850,11300,0,0,0
2023-11-03,11.3,4.15,-3,98,73,48,2.4,-0.6,-3.5,16,8.5,1,64400,33400,2400,0,0,0
2023-11-02,4.5,1.75,-1,100,75.5,51,0.3,-2.6,-5.5,28,14.5,1,24100,13050,2000,0.7,0.7,0
2023-11-01,5.7,0,-5.7,85,66.5,48,-3.7,-6,-8.4,11,6,1,24100,15250,6400,0,0,0
2023-10-31,8,2.1,-3.8,78,55.5,33,-4.4,-6.4,-8.4,11,6,1,64400,44250,24100,0,0,0
2023-10-30,3.4,-0.3,-4,74,60,46,-4.6,-7.2,-9.8,17,10.5,4,64400,40250,16100,0,0,0
2023-10-29,2.2,-3.9,-10,85,66,47,-5.8,-8.7,-11.5,13,7,1,64400,38650,12900,0,0,0
2023-10-28,-0.2,-4.3,-8.4,75,63,51,-5.1,-9.6,-14.1,31,17,3,48300,30600,12900,0,0,0
2023-10-27,-2.8,-7.19,-11.6,85,66,47,-8.2,-11.2,-14.1,18,9.5,1,48300,24650,1000,1.2,0,1.2
2023-10-26,-6.8,-11.85,-16.9,87,80.5,74,-9.7,-14,-18.3,22,12.5,3,24100,13850,3600,0.4,0,0.4
2023-10-25,-8.6,-12.6,-16.6,90,77,64,-12.4,-15.7,-18.9,14,7.5,1,24100,12850,1600,0,0,0
2023-10-24,-6.9,-9.69,-12.5,91,85.5,80,-9.6,-11.3,-13,28,16,4,24100,12550,1000,2.8,0,5.2
2023-10-23,1.7,-2.85,-7.4,98,93.5,89,-0.5,-4.7,-8.8,31,22.5,14,8100,4550,1000,10,0.8,9.2
2023-10-22,5.3,3.3,1.3,88,75.5,63,1,-0.5,-2,21,12.5,4,24100,16900,9700,0,0,0
2023-10-21,9.8,5.2,0.6,90,72.5,55,1.6,0.2,-1.3,27,14,1,64400,37850,11300,0,0,0
2023-10-20,12.1,7.05,2,93,67.5,42,2.8,1,-0.9,21,11,1,64400,44250,24100,0,0,0
2023-10-19,21.6,13.35,5.1,81,53.5,26,5.7,2.5,-0.8,43,22.5,2,64400,44250,24100,0,0,0
2023-10-18,20.1,12.75,5.4,76,54,32,4,2.1,0.3,36,20,4,64400,40250,16100,0.2,0.2,0
2023-10-17,15.9,11.25,6.6,89,65,41,7.1,3,-1,34,18.5,3,64400,36250,8100,9.3,9.3,0
2023-10-16,12.6,7.55,2.5,78,66.5,55,5.9,2.2,-1.4,14,7.5,1,24100,20100,16100,0,0,0
